sah,en
үксээ=,to increase
үктээ=,to step
үллэр=,to divide
үлүй=,to be frostbitten
үлүн=,to swell
үлүт=,to cause to be frostbitten
үлэлээ=,to work
үлэс=,to agree upon
үҥ(к)=,to pray
үҥүс=,to complain
үөрэн=,to learn
үөрэт=,to teach
үөх=,to call names
үргээ=,to pick (a flower)
үрүмэтий=,to become creamy
үрэй=,to destroy
үрэйлин=,to be destroyed
үт=,to fry
үт=,to put into water
үт=,to strike
үтүгүн=,to imitate
үтүөмсүй=,to put on airs
үтүөр=,to become better
үтүрүй=,to knock over
үүн=,to grow
үүннэр=,to make grow
үүр=,to drive away
үһүй=,to allegedly say
хаа гын=,to be hoarse
хаай=,to lock up
хаал=,to remain
хааллар=,to leave behind
хаам=,to walk
хаардаа=,to snow
хабылык,a type of game
хабыс=,to wrestle with
хайаа=,INTJ
хайҕаа=,to praise
хайыс=,to turn
хайыһардаа=,to ski
халай=,to overflow
халтарый=,to slip
халтарыт=,to trip up
халын=,to clear up (of the sky)
хамнаа, хамсаа=
хампарый=,to break into pieces
хамсат=,to move
хаҥсый=,to snuffle
хап=,to catch
хаптай=,to become flat
хаптат=,to make flat
харай=,to hide away
хараҥар=,to become dark
харатый=,to blacken
харбаа=,to sweep
хардар=,to reply
харыс=,to wrestle
харыһый=,to protect
хас=,to dig
хастаа=,to dig
хасыс=,to rake through
хат=,to become dry
хат=,to twist
хатаа=,to lock
хатыр=,to become dry (of skin)
хахсый=,to cough heavily
хаһыыр=,to yell
хачайдаа=,comp. download
хобуоччу,slanderer
хойун=,to thicken
хойуу,thick
холбоо=,to connect
холбос=,to unite
холоо=,to compare
холун=,to be defamed
холуочуй=,to become tipsy
хомой=,to be sad
хон=,to stay over night
хоҥун=,to be torn off
хор=,to furrow
хоргй=,to hunger
хоргут=,to be offended
хороо=,to quickly consume
хоруй=,to plough (not deeply)
хорут=,to plough (deeply)
хот=,to defeat
хоһуй=,to sing in a poem
һа гын=,to laugh
ча гын=,to laugh
чочуй=,to improve
чугуй=,to recede
чуумпур=,to hush
чэбдигир=,to become healthier
чэпчээ=,to become light
чэрдий=,to become scarred
ыа,to milk
ыа=,to milk
ыалдьытымсый=,to behave like a guest when one is not
ыараа=,to become heavy
ыарый=,to become sick
ыбыс=,to close up
ыгылый=,to be pressed
ыгыс=,to be squeezed
ыгыһын=,to strain oneself
ый=,to point at
ыйаа=,to weigh
ыйыт=,to ask
ыйыһын=,to swallow
ык=,to press
ыксаа=,to hurry
ыл=,to take
ыллаа=,to sing
ылыс=,to undertake
ымсыыр=,to envy
ынай=,to resemble a cow
ынат=,to make resemble a cow
ынахтаа=,to provide with cows
ыр=,to lose weight
ыраат=,to go far
ырааһыр=,to become clean
ырҕай=,to become fat
ырҕат=,to make fat
ырыт=,to analyze
ыс=,to scatter
ыстан=,to jump
ыт=,to shoot
ытаа=,to cry
ытый=,to whip cream
ытыр=,to bite
ытырт=,to sneeze
ыһаар=,to fry
ыһыгын=,to drop
ыыр=,to divide in two
ыыт=,to send
эбил=,to be added
эбиэттээ=,to dine
эйэлээ=,to make peace
эккирэт=,to chase
эккирээ=,to jump up
элбээ=,to multiply
эльий=,to cut thin
элэй=,to wear out
элэт=,to wear out
элээ=,to go around in a flighty manner
эм=,to suck
эмтээ=,to treat medically
эндэй=,to make mistakes
эп=,to add
эр=,to be
эрбээ=,to saw
эргий=,to turn around
эргит=,to make turn around
эрий=,to twist
эрилин=,to twist
эрис=,to wrestle
эрт=,to row
эрчий=,to exercise
эрэн=,to hope
эрэннэр=,to promise
эс=,to destroy
эс=,to shoot
эт=,to say
этис=,to argue
эттээ=,to butcher
эһилин=,to be done away with
эһэлээ=,to hunt bears
эчэт=,to chop up
