sah,en
аһылык,feed
аһыҥа,locust
аһыы,molar
аһыы сүөргэй,sour cream
ача,mountain sedge
баай-күүс,wealth and power
баайар массыына,baler
баак,fact [<Russ. факт]
баан,bank [<Russ. банк]
баанньык,bath
баас,wound
баата,wadding
баах,fact [<Russ. факт]
бааһына,field
бааччах,complication
баҕа,desire
баҕа,frog
баҕа батаһы,iris (flower)
баҕана,peg
бадараан,swamp
байаҕал,ocean
Байаҕал,Lake Baikal
балаакка,tent [<Russ. палатка]
балаатка,tent [<Russ. палатка]
балаҕан,yurt
балаҕан ыйа,September
баланыысса,hospital [<Russ. больница]
балбаах,dung heap
балта,hammer
балтым,my younger sister
балык,fish
балыксыт, балыкчыт
балыс,sister (younger)
балыыта,valyuta
барабыай,sparrow [<Russ. воробей]
барнак,criminal
барча,brocade [<Russ. парча]
барыанньа,jam
барыл,sketch
барыта,index
барыы,departure
барыы,coming and going
бас,head
батаҥа,leather purse
батас,large knife
баттааһын,pressure
баттал,oppression
баттах,hair
баһаар,bazaar
баһымньы,hoe
баһыыба,thanks
баһыыба махтал,gratitude
баһыыба махтал,gratitude
бачыыҥка,(high-button) shoes [<Russ. ботинки]
бензин,gasoline
библиотека,library [<Russ.]
бигэргэтии,comp. confirm
бии,elder
биибэ,beer [<Russ. пиво]
биилкэ,fork [<Russ. вилка]
биилэрии,declaration
биис,sort
биит,comp. bit
биит түргэнэ,bitrate
бииһэк,list [<Russ. список]
бил,Siberian salmon (Onchorhynchus sp.)
билгэ,prognosis
билии,data
билии олоҕо,database
билиидэ,range
билиэт,ticket [<Russ. билет]
билэ,comp. file
бинтиэпкэ,(automatic) rifle [<Russ. винтовка]
биригэдьиир,brigadier
биригээдэ,brigade
бириһэм,admiration
бириэмийэ,prize
бириэрмэ,time (conceptually) [<Russ. время]
биһик,cradle
биһирэм,admiration
биэ,mare
биэдэрэ,pail [<Russ. ведро]
биэчэр,evening
боб,bean
бодо,appearance
бодьох,timeframe
болуот,raft
болуотунньук,carpenter [<Russ. плотник]
бомба,bomb
боотур,epic hero [<Mong. bağatur]
боппуроус,question
боробулуоха, борубулуоха
борогуул,stroll
бородуукта,product [<Russ. продуkт]
борокуот,steamship [<Russ. параxод]
боронньу,harrow [<Russ. борона]
боросуонак,shoat
боротокуол,protocol
борошко,yearling calf
бортунуой,tailor [<Russ. портной]
боруу,horsetail (plant – Equisetum sp.)
бостуух,herdsman
босхолооһун,liberation
ботуруон,cartridge
бочугурас,hazel grouse
бөлкөй,islet
бөлөх,group
бөрө,wolf
бөрөһүт,wolf hunter
бөтүүк,cock
бөх,garbage
бөх-сах,rubbish
бөһүөлэк,village
бугул,stack
булгуньах,peak
булкуур,confusion
булт,prize
булуук,plow [<Russ. плуг]
булчут,hunter
буобар,cook
буоҕу,prohibition
буом,obstacle
буор,ground
буорах,powder
буордаах,earthy
буорту,harm
буоһа,reins
буоһа cf муоһа,reins
буочука,barrel
бургунас,heifer
бурдук,grain
бурдук астааһына,threshing
бурдук быһаачы,reaper
бурдук быһыыта,reaping
бурдук үүннэрии,grain or crop production
бурдук ыһар сир,agricultural field
буруй,guilt
буруо,smoke
бутугас,soup
бууйла,bullet [<Russ. пуля]
буулдьа,bullet
буулка,roll
буун,point
буурҕа,storm
буус,ice
буус cf. муус,ice
буут,hip
буух,down (feathers) [<Russ. пуx]
буһарча,type of fish dish
бүгүдьэх,gadfly
бүк,fold
бүлүүссэ, бүлүүһэ
бүө,cork stopper
бүөм,cozy
бүөр,kidney
бүргэс,awl
бүрүүкэ,pants
бүтүү,end
бүтэй,fence
бүтэй дорҕоон,consonant
быа,rope
быар,liver
быаһыт ынах,cow able to slip leashes
быдаан,fog
былаадьах,stick for a shaman’s drum
былаан,plan [<Russ. план]
былаат,shawl
былаах,flag [<Russ. флаг]
былахы,flea [<Russ. блоxа]
былыт,cloud
быраас,doctor [<Russ. врач]
быраат,brother (younger) [<Russ. брат]
бырааһынньык,holiday
бырамыысыланаһы,industry [<Russ. промйшленость]
бырастыына,sheet [<Russ. простыня]
бырдах,mosquito
быт,louse
бытаһыт,mouse
быттык,groin
бытык,mustache
бытырыыс,scrap
быһа тардыы,comp. quote
быһаарыы,description
быһар массыына,harvester
быһах,knife
быһыйа,small knife
быһыт,barrier preventing passage
быһыы,cutting piece
быһыы-майгы,situation
быччын,muscle
быыбар,election [<Russ. выборы]
быыл,dust [<Russ. пыль]
быыс,border
бэбиэскэ,message
бэдэр,lynx
бэйэ,body
бэлимиэн,dumpling
бэлиэ,comp. account
бэлиэ,sign
бэлэх,gift
бэргэһэ,cap
бэрик,bribe
бэриниэ,featherbed [<Russ. перина]
бэрэбэнэ,log [<Russ. бревно]
бэрэмээт,seine [<Russ. перемëт]
бэс,pine (tree)
бэс ыйа,June
бэтириэт,portrait [<Russ. портрет]
вагон (вагуон),railway car [<Russ. <Fr.]
васа,vase [<Russ.]
велосипед,bicycle [<Russ.]
ветеринар,veterinarian [<Russ.]
врач,doctor
гектар,hectare [<Russ.]
голууб,pigeon [<Russ. голубь]
горчица,mustard [<Russ.]
гостиница,hotel [<Russ.]
государства,[<Russ. государство]
грамм,gram [<Russ.]
гуорат,city [<Russ. город]
гуорат cf. куорат,city [<Russ. город]
дабархай,wood tar
даҕааһын,touching lightly
дайды,dial cf дойду land
дакылаат,report [<Russ. доклад]
дал,cattle-pen
далай,sea
далда,shelter (for livestock)
дирэктар, директор
диэки,direction
диэкки,direction
дойду,land
долбуур,shelf
долгун,wave (of water)
дорҕоон,sound
дорҕоон,consonant
доруобуйа,health [<Russ. доброта]
доруобунньук,buckshot [<Russ. дробинка]
дохуот,profit
дөлүһүөн,honeysuckle
дуга,bow
дугда,planting
дулҕа,hillock
дуол,open space
дуораан,echo
дуоска,chalkboard
дурба,pipe
дурда,stronghold
дуумай,consideration [<Russ. думай]
дьаакыр,anchor [<Russ. якорь]
дьаам,power
дьаама,pit
дьаарысса,spring grain
дьаат,demon evil
дьааһык,box
дьааһыла,cradle [<Russ. ясли]
дьабадьы,corner of the mouth
дьабара,gopher
дьай,dirt
дьайыҥ,side
дьам,postal relay station
дьам,road [<Mong. ǰam]
дьаҥ,illness
дьапталҕа,layer
дьаралык,comp. icon
дьаһал,management
дьаһалта,order
дьиссипилиннэ,discipline [<Russ. дисциплина]
дьиэ,house
дьиэ сууйааччы,janitor
дьиэ-уот,home
дьиэһит,housekeeper
дьол,happiness
дьон,people
дьөлөҕөс,hole
дьукаах,neighbor
дьулуур,diligence
дьуолка,fir tree
дьууппа,skirt
дьуһуурунай,officer of the day
дьүкээбил,Yukaghir aurora (borealis)
дьүкээбил уота,aurora (borealis)
дьүл,appearance throught
дьүһүн,appearance
дьүһүн-бодо,appearance
дьыл,year
дьылҕа,destiny
дьэбин,rust
дьэндьэн,strawberry
дьэҥкир арыы,boiled butter
дэлэй,abundance
дэҥ,accident
жирафа,giraffe [<Russ.]
жнейка,harvester
жюпи,jury
завод (pl. заводтар),factory [<Russ.]
звонок,bell [<Russ.]
игии,file (tool)
идэ,occupation
ии,circle
иик,urine
иирдэр массыына,churn
иирдэр массыына,churn
иис,sewing
иистэнэр массыына,sewing machine
ий̃э,mother
ий̃э дойду,motherland
ий̃э хара,entirety
ил,friendship
илдьит,ambassador
илии,hand
илим,net web (of a spider)
илин,front (side)
им,sunset
им-дьим,silence
инженер,engineer [<Russ.]
ини, инни
инньэлик,needle-case
иннэ, инньэ
инструктар,instructor [<Russ.]
иҥиир,tendon
иҥсэ,greed
ириҥэ,pus
ириэрии,thaw
ис,inside
ис таҥас,inside clothing
искэн,swelling
искэх,roe
испиир,spirits
испиискэ,matches [<Russ. спичка]
испииһэк,list [<Russ. список]
испииһэк cf. бииһэк,list [<Russ. список]
испэктээк,show
истии,cabbage soup [<Russ. щи]
истиэнэ,wall [<Russ. стена]
истээх таҥас,lined clothing
истээччи,listener
итии,heat
итэҕэл,belief
итэҕэс,lack
иһит,container
иһит-комуос,kitchenware
иһитиннэрии,information
иһэҥэ,stirrup
иччи,internal spirit master ghost
иэдьэгэй,cottage cheese
иэдэс,cheek
иэн,size
иэс,debt
калап,hat
кампания,campaign
каникул,vacation
капитан,captain [<Russ.]
карта,map [<Russ.]
карточка,file card [<Russ.]
кии,manure
киий̃ит cf. киньиит,daughter-in-law
киилэ,kilo
киин,navel
киинэ,movie
киирии,comp. access
киирии аат,comp. login
киирии тыл,password
киис,sable (Martes sp.)
киис тиҥилэҕэ,stone bramble(Rubus saxatilis)
килиэп,bread [<Russ. xлеб]
киллэһик,insertion
километр,kilometer [<Russ.]
килэҥ,reflection
кингиэ кумааҕы,books and papers
кинигэ,book [<Russ. книга]
киньиит cf. киий̃ит,daughter-in-law
киоск,newsstand
кир,dirt
кирилиэс,staircase
кирпииччэ,brick [<Russ. кирпич]
кирээдэ,(flower) bed [<Russ. гряда]
киһи,person
киэп,form
киэпкэ,baseball cap [<Russ. кепка]
киэргэ,arch. jewel
киэһэ,evening
колхуос,kolkhoz
комбайн,combine
комиссия,commission
комитэт,committee [<Russ.]
коммунист,communist [<Russ.]
комуос,dipper
конституция,constitution [<Russ.]
концерт,concert [<Russ.]
кооператив,co-op
көҕө,hook
көҕөн,wild duck
көҕүс,spine
көйөргөн,ferment
көлө,working cattle
көлөһүн,sweat
көннөрөөччү,rectifier
көҥүл,freedom
көппөх,junk on the surface of water
көр,fun
көр-нар,fun
көрдөрүү,index
көрүнньүк,gallery
көрүҥ,appearance
көрүҥэ,version
көрүү,comp. view
көс,arch. eye
көс,mile
көстүрүүҥкэ,sauce-pan
көстүүм,suit (of clothing) [<Russ. костюм]
көтөр,bird
көтөр-сүүрэр,animals
көтүтэр массыына,winnower
көх,enthusiasm
көхө,hatrack
крем,cream [<Russ.]
куба,swan (Cygnus sp.)
кубарнатор,governor
куйаар,outer space
куйаас,heat
куй̃ах,armor
куйуур,fishing net
кулахы,bug
кулгаах,ear
кулун,foal
кулун тутар,March
кулут,slave
кулууп,(social) club [<Russ. клуб]
кумааҕы,paper
кумах,sand
куобах,hare
куоҕас,loon (Gavia sp.)
куолай,esophagus
куолас,ear of grain [<Russ. колос]
куолас,voice
куопта,woman’s jacket [<Russ. кофта]
куорат,city [<Russ. город]
куорма,stern (of a ship) [<Russ. korma]
куорсун,feather
куоска,cat [<Russ. кошка]
куоталаһыы,competition
кур,belt
кураан,drought
куртах,stomach
куртуйах,black grouse (Tetrao tetrix)
курум,feast
куруҥ, куруҥах
куруппа,groats (barley) [<Russ. крупа]
куруппааскы,partridge [<Russ. куропатка]
куруһох,circle
кус,duck
кус-хаас,water fowl
кусчут, куччут
кута,swamp
кутаа,bonfire
куттал,fear
кутуйах,mouse
кутурук,tail
куукула,doll [<Russ. кукла]
куукуна,kitchen [<Russ. кухня]
куул,bag matting
куурусса,hen
кууча,heap
күкүр,feed trough
күл,ash
күлгэри,lizard
күлүк,shade
күлүм,smile
күлүм,sparkle
күлүү,laughter
күлүүс,key [<Russ. ключ]
күн,sun
күн ортото,midday
күн ый,time
күндэ,darling
күннүк,diary
күнүс,midday
күнүүһүт,jealous man
күөгү,fishing pole
күөл,lake
күөмэй,throat
күөнэх,Eurasian minnow (Phoxinus phoxinus)
күөрчэх,drink made with milk
күөрэгэй,lark (bird)
күөс,(cooking) pot
күөх дьай,misfortune
күөх дьай,misfortune
күөх сүрэх,lazy person
күрбэ,bridge
күрдьэх,shovel
күртэх,shovel
күрүө,fence
күрээдьэх,runaway
